story,intereddstingness_1,creativity_1,interestingness_2,creativity_2,interestingness_3,creativity_3,interestingness_4,creativity_4,average_Interestingness,average_Creativity
Kelly was asked by her neighbors to come babysit. Kelly liked babysitting but the kids were unruly. They were always crying and whining. When Kelly arrived the kids were unbearable. Thankfully they ended up calming down after a snack.,3,2,2,2,4,3,4,4,3.25,2.75
"Holly wanted to go to the beach. On the way, she stopped and picked up her boyfriend. Once there, they found a secluded spot away from kids playing. Her boyfriend put lotion on her back. After two hours of tanning, they left to have lunch.",4,3,3,3,1,2,1,1,2.25,2.25
"My wife's coworker came to a party last weekend. She brought her husband. The group sat and talked, her husband a way off. Her husband moved to be closer to her, and she was pleased. He said he moved as he could not hear the conversation.",3,4,1,2,4,4,2,2,2.5,3
"Crystal is a professional babysitter. One day, she had to watch over a pair of rambunctious toddlers. She turned her back for a moment and the kids made a mess. Frustrated, Crystal quickly cleaned up the mess. When the parents got home, Crystal was exhausted from her day.",5,3,2,1,2,1,4,4,3.25,2.25
Dan was the team basketball star at his school. This game determined who would go on to state finals. Dan and his team mates played with all their heart. The game was tied when Dan shot the last basket hoping to make it. The team won by two points and went on to state finals.,5,4,3,2,5,5,2,2,3.75,3.25
My friends and I decided to drive to a music festival 3 hours away. After the show we decided not to get a hotel room. The hotel rooms available were either expensive or not clean. So we decided to just forgo sleep and just drive home. We talked and laughed the entire drive and had a great time.,4,5,3,3,3,3,3,3,3.25,3.5
Jane's cat ran out the door one day. She went out looking for him. After an hour she went back home. Her cat was waiting by the door for her. Jane laughed a bit and let him in.,4,4,3,4,4,4,4,3,3.75,3.75
"Carla was enjoying her nutritional drink. She told Janice to try out the drink. Janice had a sip and gave a good comment on it. Unfortunately, she caught a bad stomach ache an hour later. She was stuck in the bathroom for a while.",3,4,4,4,5,5,5,5,4.25,4.5
A thief tried to approach an old lady in the street. He didn't realize that she's a kung fu mentor. She was able to knock him out. He fell on the floor. The police officers came and tool him to jail.,5,5,5,5,5,5,5,5,5,5
Allie went to the drive in. But she got bored. So she took out her phone. But there was no service. She was very annoyed.,2,3,3,3,3,4,3,3,2.75,3.25
"Cathy loved to play tennis. However, her serve was terrible. She finally decided to start taking lessons. Her swing started to show improvement. Cathy was glad she was able to hit better.",1,1,1,2,2,2,1,1,1.25,1.5
"My niece has a 12-year old daughter, Mary. Mary wanted a pet guinea pig. Her mom bought her two. They had six babies. My niece just bought a huge cage to house the guinea pigs.",2,3,3,4,1,1,2,2,2,2.5
"I used to use a lawn service to fertilize my grass. After 2 years, I was still getting weeds and clover. I figured out how much I had paid the service over the years. It really was cheaper to fertilize my own lawn. My lawn looks a lot better now.",2,2,4,3,3,2,2,2,2.75,2.25
Tina moved into the new apartment complex. She had just finished unpacking when she heard some noise. She then saw a mouse scurrying to hide in the bathroom. Tina promptly called the landlord. The landlord called the exterminators to fumigate the unit.,4,3,4,4,4,4,4,4,4,3.75
Jessica was redoing her kitchen. She found some beautiful rugs. She spread them out on her kitchen floor. They were exactly what the room had been missing! She couldn't wait to move on to the rest of the house.,3,3,2,2,3,2,3,2,2.75,2.25
Jane went to an attorney to get a divorce from Jack. The lawyer was polite but informed her she would lose a lot. Jane decided to take a day to think about it. She called the lawyer a week late and told him to proceed. A week later Jack signed the papers somberly.,3,2,5,5,4,3,2,2,3.5,3
I was rushed into my dental appointment yesterday. I apologized to my dentist for not having time to brush my teeth. He shrugged and gave me a big smile. He said he didn't have time to wash his hands after peeing. I hope he was joking on that one.,5,5,5,5,5,5,5,5,5,5
"Leah is nervous about her flight while she waits in the terminal. A man comes up and starts hitting on her. Luckily for Leah, she doesn't have to sit next to him on the flight. She deplanes, and he begins hitting on her again. Leah lets him down and quickly leaves.",4,2,5,5,4,4,3,4,4,3.75
Annie was shopping with friends. She decided to try to steal some clothes. On her way out of the mall she was caught by security. They banned her from the mall for one year. Annie was so sad but her friends vowed to wait it out with her.,5,5,5,5,5,5,4,4,4.75,4.75
Tammy woke up one morning before school. She needed to put on her eye makeup but she had some type of sore. She tried several times but couldn't put on her eye makeup. Instead she decided to go to school without it. She ended up loving it and adopted it as her permanent look.,2,3,5,5,3,4,3,4,3.25,4
Lucy got her nails professionally done. She loved the way they looked. However to her surprise she realized she chipped one. It ruined the entire nail. Lucy went back and had it re done.,1,2,4,3,2,2,4,5,2.75,3
Samantha lived by herself in a studio apartment. She got a bill in the mail saying her rent would be increased. Her rent would be increased from $800 a month to $1600. Samantha couldn't afford the rent increase. Samantha had to move to a cheaper apartment.,2,1,3,3,1,2,2,2,2,2
I was over at my friend's house last week I noticed he had money laying out and took it. He confronted me about it the next day. I denied everything even though he knows it was me. I lost a friendship but gained fifty bucks.,3,3,5,5,5,5,5,5,4.5,4.5
"Dirk traveled to Japan in early 2013. When there, he visited all sorts of places. He got lost one day, and was unable to find his way back to his hotel. He looked to the skyline and followed familiar buildings. Eventually he found his hotel, after hours of walking.",2,2,3,3,4,4,3,3,3,3
Trevor got his motorcycle license. He'd just bought a motorcycle and couldn't wait to ride it. He went to the dealership and picked up the keys. He drove it home right away. He loved his new bike!,1,1,4,4,1,1,3,3,2.25,2.25
"Jane worked hard on the big project at work. She needed, but had no help. She hurried to prepare everything Somehow she managed to finish on time. She was relieved when her boss was impressed by her work.",1,2,2,2,1,1,1,1,1.25,1.5
Tom was out on a date. He was trying to impress the girl. Tom ordered expensive items even though he couldn't afford them. He severely overdrafted his account. Tom spent weeks paying it off.,3,2,4,4,3,2,5,4,3.75,3
Ned was drinking one night. He decided to drive home from the bar. He thought he was sober enough to make it home. But Ned had overestimated himself. He crashed into a tree two blocks away from the bar.,4,4,5,5,3,3,4,4,4,4
"Tim had smoked for many Year's. He really wanted to quit! So he bought special gum and patches to help him. It was hard, but he persevered. In a few months he had quit for good!",3,2,2,2,1,1,4,2,2.5,1.75
"Last night there were three homicides in the city of Dallas, Texas. Lisa and Monica are sisters who lost their brother and sister in law. Someone robbed the pair and shot them in their home. Two blocks away, a teenager was shot and killed outside of a store. Police think that all three murders were committed by the same person.",5,4,5,5,5,5,5,4,5,4.5
"Trina decided to enroll into beauty school. After her first week, she was allowed to cut and dye people's hair. An elderly woman came in, and Trina accidentally dyed her hair pink! Trina apologized to the elderly woman, but she just laughed. She slipped Trina a tip, and told her she made her feel younger.",5,3,5,5,5,5,5,5,5,4.5
"A hunter was in his hunter's stand in the woods. A bear had approached his stand slowly, with curiosity. The hunter was extremely nervous and lifted his gun. To his horror, the bear climbed the tree and sniffed around the hunter The hunter decided to stay still until the bear left.",4,4,4,4,5,5,3,3,4,4
"Jo was selected to appear on a TV game show. She travelled to Hollywood to appear on the show. Jo played the game but soon found herself losing badly. After the final round, Jo came in last place. Jo was upset she lost, but the experience was very fun and memorable.",3,3,3,4,3,3,2,3,2.75,3.25
May moved with her parents to a new city. May was nervous about making new friends in her neighborhood. One day a girl came over and asked May to play with her. May agreed and they spent the day together. Now May and the girl are best friends and May loves her new home.,3,2,1,1,2,2,1,1,1.75,1.5
Ronald needed new shoes. So Ronald went to the shoe store. Ronald looked for the right shoes. He found the right shoes. Ronald got the shoes and bought it.,1,1,1,1,1,1,1,1,1,1
Kara was on a diet. She had lost a lot of weight. Kara's waist was getting smaller. Her clothes weren't fitting anymore. Kara had to buy new clothes.,1,1,1,1,1,1,2,1,1.25,1
"Gina wanted to marry a rich man. So she frequented a rich neighborhood to attract one. While on the subway to get there, she met Matt. He was poor, but her heart started to beat faster. She gave up her dream to marry a rich man to marry love instead.",5,5,5,5,5,5,5,5,5,5
Alex awoke when the sun rose. She realized she had forgotten to close the shades. She decided to get up since she was already awake. She took an extra long shower because she had the time to. Alex left her house early with a plan to get to work early.,3,2,3,3,2,3,1,1,2.25,2.25
Harry was afraid of heights. His friends convinced him to hang glide. Harry set up life insurance. He jumped off the cliff. He flew into a building.,4,4,2,2,3,4,3,4,3,3.5
Me and my girlfriend have been dating for a year now. But it seems every time we take two steps forward. The devil makes us go two steps back. LAbor day weekend i put my phone down for a second. My girlfriend seen the texts in my phone and now we over.,2,2,3,4,4,4,4,4,3.25,3.5
Every year my in-laws take my family to Disney World. We stay at one of the resorts right on the grounds. We visit the parks and stay late every night. By the end of the week we are all exhausted and ready to go home. But we are always ready to go back when the next year rolls around.,2,1,2,2,4,3,1,1,2.25,1.75
"I wanted to go to the movies, and meet up with my friends. My mother said if I finished my chores, she would drop me off. I started to get ready and before I knew it, it was time to go. My mother said, you're not finished with your choirs. I never went, being so excited to get ready, I didn't finish my chores.",2,3,3,3,4,5,4,4,3.25,3.75
Shane decided to cook some dinner. He made homemade macaroni and cheese. He loved mixing the melted cheese together. He crumbled some bacon on top. It was his secret recipe and it was delicious!,1,1,1,2,1,2,1,1,1,1.5
I had been wanting a new dog. My current dog was getting old and needed a companion. I had no idea what I wanted. I decided to go to the animal shelter and look around. While there I fell in love with a puppy and took her home.,2,3,3,2,2,3,1,1,2,2.25
Cathy went to the doctor to get her foot checked out. The doctor's examination showed that the foot was broken. Cathy had to drive to the orthopedist's office to get a cast. Cathy found it very hard to driving home with a cast. Once she was home she sat in a chair and didn't move for 5 hours.,3,3,2,2,2,2,3,4,2.5,2.75
The family lives down the road from a park. The kids ask Becky to take them there. Becky takes the kids to park to play. They all have a fun time. They can't wait to go again.,1,1,1,1,1,1,1,1,1,1
Matthew wanted to got trick or treating with his friend Micah. Micah already had plans to go trick or treating with his cousins. Matthew's mom suggested Mathew try calling Jack. Jack agreed to trick or treat with Matthew. Jack and Matthew collected lots of candy.,3,2,2,1,1,2,2,2,2,1.75
"Cynthia loved staying indoors, she rarely left her home. She often broke down in public places minutes after leaving her house. She was diagnosed with social anxiety and needed medicine to go out. She finally decided to see a shrink about her debilitating condition. She got better within days and now shops for herself every day.",4,4,3,3,3,3,5,5,3.75,3.75
Justin is with his friend Bill looking for clubs. Justin is tired from trying to find clubs. Bill keeps trying to find the hottest club in town. They eventually give up and waste their whole night on nothing. On the way home with no sleep Justin falls asleep while driving.,3,4,4,5,4,4,5,5,4,4.5
"Laura chatted with her friends online everyday. And eventually, she became really good at typing. She entered a typing contest. And everyone was amazed at how she could type 320 words per minute. She won 1st place and chatted online the rest of the day about it.",4,4,2,3,3,5,2,2,2.75,3.5
"Travis grew up in a fishing village. The village was running low on fish. Travis set out to find the biggest catch of fish. After three days at sea, Travis had a huge catch. Travis returned to the village as a hero.",4,5,4,5,3,4,5,5,4,4.75
"A little boy played with a ball alone. Someone brought a little girl into the room with him. She wanted to play with the ball and he was afraid to let her. However he allowed her to play with the ball as well. They continued to play until they went home, not alone anymore.",3,4,3,3,3,3,1,3,2.5,3.25
"The soda hit the ground hard. She sighed in frustration that she had ruined it. Picking it up, she put it back in the car. Later she went to get a soda. She forgot, and it fizzed all over her.",3,2,5,4,5,5,4,5,4.25,4
Mikey was looking for a part-time job. Mikey searched online for places to work. He noticed a local gas station for hiring for the night shift. Mikey sent his resume on the company's website. Mikey rejoiced when he landed an interview.,3,2,1,1,2,1,2,2,2,1.5
Becky and her brother Tim were picking out pumpkins. They were going to carve Jack-O-Lanterns. Becky tried to tell Tim which pumpkin to pick. Tim didn't agree and they started fighting over a large pumpkin. Their parents soon stepped in and decided the big one was theirs.,4,5,4,3,4,4,2,2,3.5,3.5
Kelly and her friends went on a trip to Dubai. The girls were so excited. The only problem was the long flight. The girls were on the plane for fifteen hours. They couldn't wait to land.,2,2,1,1,2,1,1,1,1.5,1.25
"Carlos has always been proud of his thick black hair. Unfortunately, he sees that his hair has started to develop dandruff. Carlos goes to the store to buy a special anti-dandruff shampoo. Gradually the dandruff begins to go away. Carlos can finally be proud of his hair again.",5,4,2,3,3,2,2,4,3,3.25
"I was a Brockton Rox fan. They played minor league baseball in Brockton, MA. I saw them play three times. Once I saw El Guapo, a former Red Sox, pitch. I was sad to see the Rox leave pro baseball.",2,1,2,1,1,1,3,2,2,1.25
"Tyler wanted to see a movie with his friends. But none of them could agree on which film to see. At the theater, they were still arguing! So they decided that each guy would see a separate film. They each ended up seeing the movie they wanted to see, alone!",4,3,5,5,4,4,2,3,3.75,3.75
Leroy had a clever idea. He couldn't afford to practice at the batting park. He bought a t-shirt cannon. Leroy leaned back and wound up with his wiffle ball bat. He swung and knocked a t-shirt into the next room.,2,1,5,5,4,5,3,3,3.5,3.5
James flew for the first time in his life. He was very scared. The plane experienced some turbulence. James panicked and started to scream. A flight attendant had to calm him down.,4,3,1,1,4,3,4,3,3.25,2.5
Angie was in a bad marriage. She decided it was time to leave her husband. It was the hardest choice she ever made. The first few days was so rough. Angie finally figured out it was the best decision she made.,4,3,3,3,2,2,4,3,3.25,2.75
Tina was being bullied at her job. She reported it to her supervisor. Her supervisor did not believe her. Tina hired a lawyer. Tina sued her employer.,3,2,1,2,2,2,5,5,2.75,2.75
"Gemini had a scar on his left cheek. He was bullied both for his name and his scar. Gemini went to the county office and had his name changed to Jim. Then he bought some makeup to cover up his scar. Now he lives a quiet, nondescript life, and he loves it.",5,4,5,4,5,5,5,5,5,4.5
Arra went to the market for strawberries. But there was such a big selection of fresh fruit! She could not resist buying melons and peaches too. She brought all her finds home in her basket. Arra and her family ate fruit every day for a week!,2,1,4,4,5,4,4,2,3.75,2.75
There was a boy in a choir who was very rude. He constantly talked while the Director was speaking. The Director asked him if he would like to come up front. It was not as easy to lead a choir as he had thought. The boy was more subdued when he went back to his seat.,5,5,4,4,4,3,3,2,4,3.5
"Bob was walking to his house. He found some money on the street. He decided to turn it into the police station. After thirty days, no one claimed the money. Bob got to keep the money.",5,4,2,2,5,4,2,2,3.5,3
Mark was addicted to gambling. He had just gotten his paycheck. Mark went to the casino. He wasted half of his pay gambling. Mark fell behind on his monthly bills.,4,3,1,1,2,1,4,4,2.75,2.25
Kyle often forgot his clothes at the laundromat. The owner warned him they would be donated if he left them again. Kyle did not want his clothes to be taken away. So he decided to be more attentive and wait for his clothes to finish. Kyle never left any clothes unattended in the laundromat again.,5,4,4,4,5,3,3,3,4.25,3.5
